insert into attendance_detail values(1294, 1248, '10:55', '17:56');
insert into attendance_detail values(4500, 4323, '09:05', '17:56');
insert into attendance_detail values(4501, 4324, '09:06', '17:53');
insert into attendance_detail values(4502, 4325, '10:38', '17:53');
insert into attendance_detail values(4503, 4326, '09:05', '17:55');
insert into attendance_detail values(4504, 4327, '09:04', '17:52');
insert into attendance_detail values(4505, 4328, '09:07', '17:52');
insert into attendance_detail values(4506, 4329, '09:47', '12:55');
insert into attendance_detail values(4507, 4329, '13:47', '17:52');
insert into attendance_detail values(4508, 4330, '09:17', '17:58');
insert into attendance_detail values(4509, 4331, '09:07', '17:54');
insert into attendance_detail values(4510, 4332, '10:37', '10:52');
insert into attendance_detail values(4511, 4332, '11:34', '17:55');
insert into attendance_detail values(4512, 4333, '10:47', '17:54');
insert into attendance_detail values(4513, 4334, '09:01', '17:55');
insert into attendance_detail values(4514, 4335, '09:09', '17:57');
insert into attendance_detail values(4515, 4336, '09:08', '17:57');
insert into attendance_detail values(4516, 4337, '10:52', '17:56');
insert into attendance_detail values(4517, 4338, '09:05', '17:56');
insert into attendance_detail values(4518, 4339, '09:01', '17:50');
insert into attendance_detail values(4519, 4340, '09:03', '17:55');
insert into attendance_detail values(4520, 4341, '09:05', '17:51');
insert into attendance_detail values(4521, 4342, '09:01', '17:52');
insert into attendance_detail values(4522, 4343, '09:05', '17:52');
insert into attendance_detail values(4523, 4344, '10:39', '15:22');
insert into attendance_detail values(4524, 4345, '09:04', '17:54');
insert into attendance_detail values(4525, 4346, '09:01', '17:56');
insert into attendance_detail values(4526, 4347, '09:09', '17:59');
insert into attendance_detail values(4527, 4348, '10:41', '17:55');
insert into attendance_detail values(4528, 4349, '09:11', '14:51');
insert into attendance_detail values(4529, 4349, '15:33', '17:55');
insert into attendance_detail values(4530, 4350, '09:10', '17:59');
insert into attendance_detail values(4531, 4351, '09:10', '17:50');
insert into attendance_detail values(4532, 4352, '09:10', '17:51');
insert into attendance_detail values(4533, 4353, '09:08', '14:11');
insert into attendance_detail values(4534, 4353, '15:33', '17:54');
insert into attendance_detail values(4535, 4354, '09:07', '17:56');
insert into attendance_detail values(4536, 4355, '09:06', '17:51');
insert into attendance_detail values(4537, 4356, '09:07', '11:42');
insert into attendance_detail values(4538, 4356, '12:34', '17:59');
insert into attendance_detail values(4539, 4357, '10:28', '17:50');
insert into attendance_detail values(4540, 4358, '09:05', '17:55');
insert into attendance_detail values(4541, 4359, '09:09', '17:51');
insert into attendance_detail values(4542, 4360, '09:28', '13:15');
insert into attendance_detail values(4543, 4361, '09:08', '17:59');
insert into attendance_detail values(4544, 4362, '09:04', '17:57');
insert into attendance_detail values(4545, 4363, '09:03', '17:55');
insert into attendance_detail values(4546, 4364, '09:00', '17:50');
insert into attendance_detail values(4547, 4365, '09:02', '17:59');
insert into attendance_detail values(4548, 4366, '09:05', '17:50');
insert into attendance_detail values(4549, 4367, '09:08', '17:56');
insert into attendance_detail values(4550, 4368, '09:07', '17:52');
insert into attendance_detail values(4551, 4369, '09:58', '17:56');
insert into attendance_detail values(4552, 4370, '10:39', '14:00');
insert into attendance_detail values(4553, 4370, '15:53', '17:53');
insert into attendance_detail values(4554, 4371, '09:03', '17:50');
insert into attendance_detail values(4555, 4372, '09:01', '17:57');
insert into attendance_detail values(4556, 4373, '09:09', '17:57');
insert into attendance_detail values(4557, 4374, '09:09', '17:52');
insert into attendance_detail values(4558, 4375, '09:08', '17:50');
insert into attendance_detail values(4559, 4376, '09:00', '17:53');
insert into attendance_detail values(4560, 4377, '09:10', '17:57');
insert into attendance_detail values(4561, 4378, '09:20', '11:02');
insert into attendance_detail values(4562, 4379, '09:00', '17:56');
insert into attendance_detail values(4563, 4380, '10:20', '17:56');
insert into attendance_detail values(4622, 4439, '09:01', '17:54');
insert into attendance_detail values(4623, 4440, '09:06', '11:56');
insert into attendance_detail values(4624, 4441, '09:03', '17:52');
insert into attendance_detail values(4625, 4442, '09:08', '17:50');
insert into attendance_detail values(4626, 4443, '09:09', '17:59');
insert into attendance_detail values(4627, 4444, '09:10', '17:53');
insert into attendance_detail values(4628, 4445, '09:05', '17:54');
insert into attendance_detail values(4629, 4446, '09:10', '17:56');
insert into attendance_detail values(4630, 4447, '09:06', '17:56');
insert into attendance_detail values(4631, 4448, '09:08', '17:58');
insert into attendance_detail values(4632, 4449, '09:03', '17:52');
insert into attendance_detail values(4633, 4450, '09:07', '17:53');
insert into attendance_detail values(4634, 4451, '10:19', '17:56');
insert into attendance_detail values(4635, 4452, '09:02', '17:54');
insert into attendance_detail values(4637, 4454, '09:00', '17:50');
insert into attendance_detail values(4638, 4455, '09:03', '17:55');
insert into attendance_detail values(4639, 4456, '09:10', '17:58');
insert into attendance_detail values(4640, 4457, '09:10', '17:58');
insert into attendance_detail values(4641, 4458, '09:03', '17:57');
insert into attendance_detail values(4642, 4459, '09:55', '17:58');
insert into attendance_detail values(4643, 4460, '09:01', '17:54');
insert into attendance_detail values(4644, 4461, '09:09', '17:55');
insert into attendance_detail values(4645, 4462, '09:06', '17:53');
insert into attendance_detail values(4646, 4463, '09:05', '10:36');
insert into attendance_detail values(4647, 4464, '09:02', '17:57');
insert into attendance_detail values(4648, 4465, '09:07', '17:57');
insert into attendance_detail values(4650, 4467, '09:08', '17:54');
insert into attendance_detail values(4651, 4468, '09:40', '14:52');
insert into attendance_detail values(4652, 4468, '15:38', '17:59');
insert into attendance_detail values(4653, 4469, '09:00', '17:57');
insert into attendance_detail values(4654, 4470, '10:40', '10:09');
insert into attendance_detail values(4655, 4470, '11:55', '17:53');
insert into attendance_detail values(4656, 4471, '10:43', '14:40');
insert into attendance_detail values(4657, 4471, '15:38', '17:53');
insert into attendance_detail values(4658, 4472, '09:05', '17:59');
insert into attendance_detail values(4659, 4473, '09:05', '17:53');
insert into attendance_detail values(4660, 4474, '09:05', '17:51');
insert into attendance_detail values(4661, 4475, '10:35', '17:52');
insert into attendance_detail values(4662, 4476, '09:07', '17:59');
insert into attendance_detail values(4663, 4477, '09:00', '17:59');
insert into attendance_detail values(4664, 4478, '09:02', '17:59');
insert into attendance_detail values(4665, 4479, '09:00', '17:50');
insert into attendance_detail values(4666, 4480, '09:04', '17:50');
insert into attendance_detail values(4668, 4482, '09:09', '12:15');
insert into attendance_detail values(4669, 4483, '09:07', '17:51');
insert into attendance_detail values(4670, 4484, '09:02', '17:50');
insert into attendance_detail values(4671, 4485, '10:51', '17:59');
insert into attendance_detail values(4672, 4486, '09:09', '17:54');
insert into attendance_detail values(4673, 4487, '09:10', '12:01');
insert into attendance_detail values(4674, 4488, '09:03', '17:51');
insert into attendance_detail values(4675, 4489, '09:55', '17:57');
insert into attendance_detail values(4676, 4490, '10:17', '14:51');
insert into attendance_detail values(4677, 4490, '15:41', '17:55');
insert into attendance_detail values(4679, 4492, '09:04', '17:52');
insert into attendance_detail values(4680, 4493, '09:04', '15:39');
insert into attendance_detail values(4681, 4493, '16:31', '17:59');
insert into attendance_detail values(4682, 4494, '09:02', '17:51');
insert into attendance_detail values(4683, 4495, '09:04', '17:54');
insert into attendance_detail values(4684, 4496, '09:05', '17:56');
insert into attendance_detail values(4685, 4497, '09:08', '17:52');
insert into attendance_detail values(4686, 4498, '09:07', '17:52');
insert into attendance_detail values(4687, 4499, '09:08', '17:56');
insert into attendance_detail values(4688, 4500, '09:02', '17:59');
insert into attendance_detail values(4689, 4501, '09:02', '17:59');
insert into attendance_detail values(4690, 4502, '10:21', '17:50');
insert into attendance_detail values(4691, 4503, '09:00', '17:53');
insert into attendance_detail values(4692, 4504, '09:00', '17:51');
insert into attendance_detail values(4694, 4506, '09:01', '17:50');
insert into attendance_detail values(4695, 4507, '09:03', '17:59');
insert into attendance_detail values(4696, 4508, '09:09', '17:51');
insert into attendance_detail values(4698, 4510, '09:07', '17:59');
insert into attendance_detail values(4699, 4511, '09:42', '17:59');
insert into attendance_detail values(4700, 4512, '09:03', '17:56');
insert into attendance_detail values(4701, 4513, '10:15', '17:50');
insert into attendance_detail values(4702, 4514, '09:00', '17:53');
insert into attendance_detail values(4703, 4515, '09:02', '17:51');
insert into attendance_detail values(4704, 4516, '09:03', '17:55');
insert into attendance_detail values(4705, 4517, '09:04', '17:58');
insert into attendance_detail values(4706, 4518, '09:05', '14:23');
insert into attendance_detail values(4707, 4518, '15:48', '17:58');
insert into attendance_detail values(4708, 4519, '09:06', '17:59');
insert into attendance_detail values(4709, 4520, '09:27', '17:53');
insert into attendance_detail values(4710, 4521, '09:10', '17:51');
insert into attendance_detail values(4711, 4522, '09:02', '12:16');
insert into attendance_detail values(4712, 4523, '09:01', '17:50');
insert into attendance_detail values(4713, 4524, '09:07', '17:53');
insert into attendance_detail values(4714, 4525, '09:07', '10:55');
insert into attendance_detail values(4715, 4526, '09:02', '17:51');
insert into attendance_detail values(4716, 4527, '09:40', '17:54');
insert into attendance_detail values(4717, 4528, '09:01', '17:58');
insert into attendance_detail values(4718, 4529, '09:10', '17:54');
insert into attendance_detail values(4719, 4530, '09:04', '17:52');
insert into attendance_detail values(4720, 4531, '09:09', '17:53');
insert into attendance_detail values(4721, 4532, '09:01', '17:55');
insert into attendance_detail values(4722, 4533, '09:10', '17:52');
insert into attendance_detail values(4723, 4534, '09:08', '14:10');
insert into attendance_detail values(4724, 4534, '15:41', '17:59');
insert into attendance_detail values(4725, 4535, '09:08', '17:52');
insert into attendance_detail values(4726, 4536, '09:05', '17:51');
insert into attendance_detail values(4727, 4537, '09:04', '17:52');
insert into attendance_detail values(4728, 4538, '09:10', '12:19');
insert into attendance_detail values(4729, 4539, '10:47', '15:18');
insert into attendance_detail values(4730, 4539, '16:45', '17:50');
insert into attendance_detail values(4731, 4540, '09:01', '17:57');
insert into attendance_detail values(4732, 4541, '09:10', '17:56');
insert into attendance_detail values(4733, 4542, '10:21', '17:56');
insert into attendance_detail values(4734, 4543, '09:08', '17:51');
insert into attendance_detail values(4735, 4544, '09:07', '17:58');
insert into attendance_detail values(4736, 4545, '09:10', '17:54');
insert into attendance_detail values(4737, 4546, '09:00', '17:53');
insert into attendance_detail values(4738, 4547, '09:02', '17:55');
insert into attendance_detail values(4739, 4548, '09:02', '17:53');
insert into attendance_detail values(4740, 4549, '10:16', '15:19');
insert into attendance_detail values(4741, 4549, '16:43', '17:57');
insert into attendance_detail values(4742, 4550, '10:59', '17:56');
insert into attendance_detail values(4743, 4551, '10:19', '17:53');
insert into attendance_detail values(4744, 4552, '09:09', '17:57');
insert into attendance_detail values(4745, 4553, '09:52', '17:58');
insert into attendance_detail values(4747, 4555, '09:07', '17:52');
insert into attendance_detail values(4748, 4556, '09:00', '17:56');
insert into attendance_detail values(4749, 4557, '09:01', '17:53');
insert into attendance_detail values(4751, 4559, '10:55', '17:53');
insert into attendance_detail values(4752, 4560, '09:10', '17:57');
insert into attendance_detail values(4753, 4561, '09:07', '17:50');
insert into attendance_detail values(4754, 4562, '10:45', '17:56');
insert into attendance_detail values(4755, 4563, '09:04', '17:54');
insert into attendance_detail values(4756, 4564, '09:06', '17:58');
insert into attendance_detail values(4757, 4565, '09:07', '17:57');
insert into attendance_detail values(4758, 4566, '09:01', '17:55');
insert into attendance_detail values(4759, 4567, '09:08', '17:50');
insert into attendance_detail values(4760, 4568, '09:00', '17:52');
insert into attendance_detail values(4761, 4569, '09:44', '17:57');
insert into attendance_detail values(4762, 4570, '09:03', '17:55');
insert into attendance_detail values(4763, 4571, '09:06', '17:51');
insert into attendance_detail values(4764, 4572, '09:04', '11:59');
insert into attendance_detail values(4765, 4572, '12:36', '17:52');
insert into attendance_detail values(4766, 4573, '09:06', '17:52');
insert into attendance_detail values(4767, 4574, '09:01', '17:53');
insert into attendance_detail values(4768, 4575, '09:07', '17:57');
insert into attendance_detail values(4769, 4576, '09:05', '17:51');
insert into attendance_detail values(4770, 4577, '09:07', '17:54');
insert into attendance_detail values(4771, 4578, '09:05', '14:14');
insert into attendance_detail values(4772, 4578, '15:59', '17:55');
insert into attendance_detail values(4773, 4579, '09:02', '17:50');
insert into attendance_detail values(4774, 4580, '09:00', '17:58');
insert into attendance_detail values(4775, 4581, '09:02', '17:59');
insert into attendance_detail values(4776, 4582, '09:08', '14:06');
insert into attendance_detail values(4777, 4582, '15:36', '17:50');
insert into attendance_detail values(4778, 4583, '10:58', '15:33');
insert into attendance_detail values(4779, 4583, '16:36', '17:54');
insert into attendance_detail values(4838, 4642, '09:05', '17:58');
insert into attendance_detail values(4839, 4643, '09:08', '17:50');
insert into attendance_detail values(4840, 4644, '09:00', '17:54');
insert into attendance_detail values(4841, 4645, '09:04', '17:50');
insert into attendance_detail values(4842, 4646, '10:51', '10:52');
insert into attendance_detail values(4843, 4646, '11:43', '17:50');
insert into attendance_detail values(4844, 4647, '09:10', '17:52');
insert into attendance_detail values(4845, 4648, '09:08', '17:59');
insert into attendance_detail values(4846, 4649, '09:03', '17:58');
insert into attendance_detail values(4847, 4650, '09:59', '12:40');
insert into attendance_detail values(4848, 4650, '13:35', '17:53');
insert into attendance_detail values(4849, 4651, '09:39', '17:56');
insert into attendance_detail values(4850, 4652, '09:09', '17:51');
insert into attendance_detail values(4851, 4653, '09:07', '17:57');
insert into attendance_detail values(4852, 4654, '09:02', '17:57');
insert into attendance_detail values(4853, 4655, '09:01', '17:50');
insert into attendance_detail values(4854, 4656, '09:06', '17:52');
insert into attendance_detail values(4855, 4657, '09:05', '17:53');
insert into attendance_detail values(4856, 4658, '09:04', '17:55');
insert into attendance_detail values(4857, 4659, '09:08', '17:56');
insert into attendance_detail values(4858, 4660, '09:04', '17:58');
insert into attendance_detail values(4859, 4661, '09:04', '17:50');
insert into attendance_detail values(4860, 4662, '09:00', '17:53');
insert into attendance_detail values(4861, 4663, '09:04', '17:53');
insert into attendance_detail values(4862, 4664, '09:21', '13:29');
insert into attendance_detail values(4863, 4665, '09:06', '17:58');
insert into attendance_detail values(4864, 4666, '09:00', '17:51');
insert into attendance_detail values(4865, 4667, '09:09', '17:53');
insert into attendance_detail values(4866, 4668, '09:09', '17:54');
insert into attendance_detail values(4867, 4669, '09:03', '17:53');
insert into attendance_detail values(4868, 4670, '09:00', '17:59');
insert into attendance_detail values(4869, 4671, '09:01', '17:55');
insert into attendance_detail values(4870, 4672, '09:10', '17:54');
insert into attendance_detail values(4871, 4673, '09:02', '17:59');
insert into attendance_detail values(4872, 4674, '09:03', '17:57');
insert into attendance_detail values(4873, 4675, '09:09', '17:58');
insert into attendance_detail values(4874, 4676, '09:04', '17:53');
insert into attendance_detail values(4875, 4677, '09:10', '17:51');
insert into attendance_detail values(4876, 4678, '09:05', '17:59');
insert into attendance_detail values(4877, 4679, '09:03', '17:54');
insert into attendance_detail values(4878, 4680, '09:10', '17:51');
insert into attendance_detail values(4879, 4681, '09:00', '17:57');
insert into attendance_detail values(4880, 4682, '09:09', '17:51');
insert into attendance_detail values(4881, 4683, '09:04', '15:28');
insert into attendance_detail values(4882, 4683, '16:47', '17:52');
insert into attendance_detail values(4883, 4684, '09:08', '17:55');
insert into attendance_detail values(4884, 4685, '09:00', '17:50');
insert into attendance_detail values(4885, 4686, '09:07', '17:54');
insert into attendance_detail values(4886, 4687, '10:52', '17:54');
insert into attendance_detail values(4887, 4688, '09:05', '17:58');
insert into attendance_detail values(4888, 4689, '09:10', '17:58');
insert into attendance_detail values(4889, 4690, '09:05', '17:59');
insert into attendance_detail values(4890, 4691, '09:05', '17:55');
insert into attendance_detail values(4891, 4692, '09:10', '17:59');
insert into attendance_detail values(4892, 4693, '09:00', '17:56');
insert into attendance_detail values(4893, 4694, '09:08', '17:52');
insert into attendance_detail values(4895, 4696, '09:04', '11:38');
insert into attendance_detail values(4896, 4697, '09:09', '17:50');
insert into attendance_detail values(4897, 4698, '09:04', '17:54');
insert into attendance_detail values(4898, 4699, '09:01', '17:51');
insert into attendance_detail values(4900, 4701, '09:09', '17:59');
insert into attendance_detail values(4901, 4702, '09:02', '17:50');
insert into attendance_detail values(4902, 4703, '10:19', '17:54');
insert into attendance_detail values(4903, 4704, '09:44', '17:58');
insert into attendance_detail values(4904, 4705, '09:09', '17:55');
insert into attendance_detail values(4905, 4706, '10:14', '12:59');
insert into attendance_detail values(4906, 4706, '13:48', '17:55');
insert into attendance_detail values(4907, 4707, '09:00', '17:55');
insert into attendance_detail values(4908, 4708, '09:35', '17:57');
insert into attendance_detail values(4909, 4709, '09:02', '17:53');
insert into attendance_detail values(4910, 4710, '09:04', '17:54');
insert into attendance_detail values(4911, 4711, '09:09', '17:54');
insert into attendance_detail values(4912, 4712, '09:10', '17:57');
insert into attendance_detail values(4913, 4713, '09:04', '17:57');
insert into attendance_detail values(4914, 4714, '09:03', '17:55');
insert into attendance_detail values(4915, 4715, '09:00', '17:59');
insert into attendance_detail values(4916, 4716, '09:09', '17:53');
insert into attendance_detail values(4917, 4717, '10:47', '17:54');
insert into attendance_detail values(4918, 4718, '10:35', '17:55');
insert into attendance_detail values(4919, 4719, '09:03', '15:29');
insert into attendance_detail values(4920, 4720, '09:08', '17:53');
insert into attendance_detail values(4921, 4721, '09:03', '17:51');
insert into attendance_detail values(4922, 4722, '09:08', '17:52');
insert into attendance_detail values(4923, 4723, '09:43', '17:50');
insert into attendance_detail values(4924, 4724, '09:01', '17:51');
insert into attendance_detail values(4925, 4725, '10:21', '17:54');
insert into attendance_detail values(4926, 4726, '09:02', '17:51');
insert into attendance_detail values(4927, 4727, '09:03', '17:56');
insert into attendance_detail values(4928, 4728, '09:10', '17:53');
insert into attendance_detail values(4929, 4729, '09:12', '17:57');
insert into attendance_detail values(4930, 4730, '09:21', '11:48');
insert into attendance_detail values(4931, 4731, '09:08', '17:52');
insert into attendance_detail values(4932, 4732, '09:06', '17:51');
insert into attendance_detail values(4933, 4733, '10:15', '17:54');
insert into attendance_detail values(4934, 4734, '09:01', '17:53');
insert into attendance_detail values(4935, 4735, '09:01', '17:59');
insert into attendance_detail values(4936, 4736, '09:49', '17:57');
insert into attendance_detail values(4937, 4737, '09:04', '17:56');
insert into attendance_detail values(4938, 4738, '09:04', '17:59');
insert into attendance_detail values(4939, 4739, '09:09', '17:59');
insert into attendance_detail values(4940, 4740, '09:02', '17:58');
insert into attendance_detail values(4941, 4741, '09:06', '17:53');
insert into attendance_detail values(4942, 4742, '09:06', '17:56');
insert into attendance_detail values(4943, 4743, '09:09', '17:55');
insert into attendance_detail values(4944, 4744, '09:03', '17:56');
insert into attendance_detail values(4945, 4745, '09:03', '17:55');
insert into attendance_detail values(4946, 4746, '09:05', '17:54');
insert into attendance_detail values(4947, 4747, '09:05', '17:52');
insert into attendance_detail values(4948, 4748, '09:01', '17:58');
insert into attendance_detail values(4949, 4749, '10:55', '11:30');
insert into attendance_detail values(4950, 4750, '09:08', '17:52');
insert into attendance_detail values(4951, 4751, '09:01', '17:57');
insert into attendance_detail values(4953, 4753, '09:23', '17:53');
insert into attendance_detail values(4954, 4754, '09:02', '17:58');
insert into attendance_detail values(4955, 4755, '09:37', '17:58');
insert into attendance_detail values(4956, 4756, '09:00', '17:55');
insert into attendance_detail values(4958, 4758, '09:08', '17:50');
insert into attendance_detail values(4959, 4759, '09:09', '17:55');
insert into attendance_detail values(4960, 4760, '09:07', '17:52');
insert into attendance_detail values(4961, 4761, '09:01', '17:52');
insert into attendance_detail values(4962, 4762, '09:01', '17:50');
insert into attendance_detail values(4963, 4763, '09:08', '17:51');
insert into attendance_detail values(4964, 4764, '09:10', '17:54');
insert into attendance_detail values(4965, 4765, '09:02', '17:56');
insert into attendance_detail values(4966, 4766, '09:08', '17:54');
insert into attendance_detail values(4967, 4767, '09:07', '17:58');
insert into attendance_detail values(4968, 4768, '09:05', '17:50');
insert into attendance_detail values(4969, 4769, '09:05', '17:55');
insert into attendance_detail values(4970, 4770, '09:08', '17:52');
insert into attendance_detail values(4971, 4771, '09:05', '17:58');
insert into attendance_detail values(4972, 4772, '09:00', '17:51');
insert into attendance_detail values(4973, 4773, '09:06', '17:59');
insert into attendance_detail values(4974, 4774, '09:02', '17:59');
insert into attendance_detail values(4975, 4775, '09:10', '17:59');
insert into attendance_detail values(4976, 4776, '09:53', '17:58');
insert into attendance_detail values(4977, 4777, '09:03', '17:59');
insert into attendance_detail values(4978, 4778, '09:08', '17:51');
insert into attendance_detail values(4979, 4779, '09:10', '17:54');
insert into attendance_detail values(4980, 4780, '09:05', '17:55');
insert into attendance_detail values(4981, 4781, '09:00', '17:57');
insert into attendance_detail values(4982, 4782, '09:07', '17:55');
insert into attendance_detail values(4983, 4783, '09:03', '17:54');
insert into attendance_detail values(4984, 4784, '09:01', '17:56');
insert into attendance_detail values(4985, 4785, '09:10', '17:51');
insert into attendance_detail values(4986, 4786, '09:02', '17:59');
insert into attendance_detail values(5045, 4845, '09:06', '17:56');
insert into attendance_detail values(5046, 4846, '09:03', '17:59');
insert into attendance_detail values(5047, 4847, '10:37', '12:57');
insert into attendance_detail values(5048, 4847, '13:45', '17:58');
insert into attendance_detail values(5049, 4848, '09:10', '17:58');
insert into attendance_detail values(5050, 4849, '09:00', '17:52');
insert into attendance_detail values(5051, 4850, '10:54', '17:59');
insert into attendance_detail values(5052, 4851, '09:04', '17:57');
insert into attendance_detail values(5053, 4852, '09:10', '17:57');
insert into attendance_detail values(5054, 4853, '09:07', '17:51');
insert into attendance_detail values(5055, 4854, '09:01', '17:58');
insert into attendance_detail values(5056, 4855, '09:01', '17:51');
insert into attendance_detail values(5057, 4856, '09:10', '17:53');
insert into attendance_detail values(5058, 4857, '09:10', '17:56');
insert into attendance_detail values(5059, 4858, '09:01', '17:59');
insert into attendance_detail values(5060, 4859, '09:05', '17:51');
insert into attendance_detail values(5061, 4860, '09:02', '17:55');
insert into attendance_detail values(5062, 4861, '09:10', '17:55');
insert into attendance_detail values(5063, 4862, '09:05', '17:58');
insert into attendance_detail values(5064, 4863, '09:01', '17:57');
insert into attendance_detail values(5065, 4864, '09:58', '15:09');
insert into attendance_detail values(5066, 4864, '16:42', '17:59');
insert into attendance_detail values(5067, 4865, '09:01', '17:59');
insert into attendance_detail values(5068, 4866, '09:02', '17:51');
insert into attendance_detail values(5069, 4867, '09:01', '17:50');
insert into attendance_detail values(5071, 4869, '09:09', '17:54');
insert into attendance_detail values(5073, 4871, '09:05', '17:52');
insert into attendance_detail values(5074, 4872, '09:00', '17:50');
insert into attendance_detail values(5075, 4873, '09:06', '17:58');
insert into attendance_detail values(5076, 4874, '09:06', '17:55');
insert into attendance_detail values(5077, 4875, '09:07', '17:55');
insert into attendance_detail values(5079, 4877, '09:08', '17:57');
insert into attendance_detail values(5080, 4878, '09:01', '17:52');
insert into attendance_detail values(5081, 4879, '09:10', '17:58');
insert into attendance_detail values(5083, 4881, '09:04', '17:57');
insert into attendance_detail values(5084, 4882, '09:07', '17:53');
insert into attendance_detail values(5086, 4884, '09:07', '17:58');
insert into attendance_detail values(5087, 4885, '09:01', '17:58');
insert into attendance_detail values(5088, 4886, '09:04', '17:53');
insert into attendance_detail values(5089, 4887, '10:52', '14:44');
insert into attendance_detail values(5090, 4887, '15:33', '17:59');
insert into attendance_detail values(5091, 4888, '09:08', '17:50');
insert into attendance_detail values(5092, 4889, '09:04', '17:57');
insert into attendance_detail values(5093, 4890, '09:09', '17:52');
insert into attendance_detail values(5094, 4891, '09:27', '17:53');
insert into attendance_detail values(5095, 4892, '09:07', '17:58');
insert into attendance_detail values(5096, 4893, '09:09', '17:58');
insert into attendance_detail values(5097, 4894, '09:10', '17:53');
insert into attendance_detail values(5098, 4895, '10:12', '17:58');
insert into attendance_detail values(5099, 4896, '09:07', '17:50');
insert into attendance_detail values(5100, 4897, '09:06', '17:50');
insert into attendance_detail values(5101, 4898, '09:04', '17:59');
insert into attendance_detail values(5102, 4899, '09:08', '17:53');
insert into attendance_detail values(5103, 4900, '09:07', '17:52');
insert into attendance_detail values(5104, 4901, '09:05', '17:59');
insert into attendance_detail values(5105, 4902, '09:05', '17:55');
insert into attendance_detail values(5106, 4903, '09:03', '17:58');
insert into attendance_detail values(5107, 4904, '10:27', '17:55');
insert into attendance_detail values(5108, 4905, '09:07', '17:57');
insert into attendance_detail values(5109, 4906, '09:58', '17:53');
insert into attendance_detail values(5110, 4907, '09:06', '17:59');
insert into attendance_detail values(5111, 4908, '09:00', '17:52');
insert into attendance_detail values(5112, 4909, '09:20', '15:22');
insert into attendance_detail values(5113, 4910, '09:08', '17:56');
insert into attendance_detail values(5114, 4911, '09:04', '17:56');
insert into attendance_detail values(5115, 4912, '09:04', '17:52');
insert into attendance_detail values(5116, 4913, '09:09', '17:53');
insert into attendance_detail values(5117, 4914, '09:03', '17:58');
insert into attendance_detail values(5118, 4915, '09:16', '17:55');
insert into attendance_detail values(5119, 4916, '09:03', '14:42');
insert into attendance_detail values(5120, 4916, '15:44', '17:56');
insert into attendance_detail values(5121, 4917, '09:01', '17:59');
insert into attendance_detail values(5122, 4918, '09:04', '17:50');
insert into attendance_detail values(5123, 4919, '09:01', '17:58');
insert into attendance_detail values(5124, 4920, '09:05', '17:52');
insert into attendance_detail values(5125, 4921, '09:00', '17:57');
insert into attendance_detail values(5126, 4922, '09:08', '17:57');
insert into attendance_detail values(5127, 4923, '09:09', '17:57');
insert into attendance_detail values(5129, 4925, '09:09', '14:13');
insert into attendance_detail values(5130, 4925, '15:58', '17:59');
insert into attendance_detail values(5131, 4926, '09:09', '17:50');
insert into attendance_detail values(5132, 4927, '09:06', '17:50');
insert into attendance_detail values(5133, 4928, '09:05', '17:50');
insert into attendance_detail values(5134, 4929, '09:01', '17:52');
insert into attendance_detail values(5135, 4930, '09:02', '17:54');
insert into attendance_detail values(5136, 4931, '09:02', '17:52');
insert into attendance_detail values(5137, 4932, '09:00', '17:51');
insert into attendance_detail values(5139, 4934, '09:00', '17:54');
insert into attendance_detail values(5140, 4935, '09:07', '17:57');
insert into attendance_detail values(5141, 4936, '09:01', '17:50');
insert into attendance_detail values(5142, 4937, '09:09', '17:57');
insert into attendance_detail values(5143, 4938, '09:06', '17:56');
insert into attendance_detail values(5144, 4939, '09:04', '17:59');
insert into attendance_detail values(5145, 4940, '09:00', '17:57');
insert into attendance_detail values(5146, 4941, '09:02', '17:59');
insert into attendance_detail values(5147, 4942, '10:55', '17:51');
insert into attendance_detail values(5148, 4943, '09:10', '17:50');
insert into attendance_detail values(5149, 4944, '09:04', '17:58');
insert into attendance_detail values(5150, 4945, '09:07', '17:51');
insert into attendance_detail values(5151, 4946, '09:04', '17:56');
insert into attendance_detail values(5152, 4947, '09:10', '17:57');
insert into attendance_detail values(5153, 4948, '09:03', '17:50');
insert into attendance_detail values(5154, 4949, '09:08', '17:50');
insert into attendance_detail values(5155, 4950, '09:01', '17:57');
insert into attendance_detail values(5156, 4951, '09:10', '17:55');
insert into attendance_detail values(5158, 4953, '09:02', '17:51');
insert into attendance_detail values(5159, 4954, '09:08', '17:54');
insert into attendance_detail values(5160, 4955, '09:04', '17:50');
insert into attendance_detail values(5161, 4956, '10:31', '17:50');
insert into attendance_detail values(5162, 4957, '09:05', '17:59');
insert into attendance_detail values(5163, 4958, '10:34', '17:56');
insert into attendance_detail values(5164, 4959, '09:04', '17:57');
insert into attendance_detail values(5165, 4960, '09:36', '15:18');
insert into attendance_detail values(5253, 5048, '09:01', '17:55');
insert into attendance_detail values(5254, 5049, '09:02', '12:38');
insert into attendance_detail values(5255, 5049, '13:33', '17:55');
insert into attendance_detail values(5256, 5050, '09:04', '17:53');
insert into attendance_detail values(5257, 5051, '09:10', '17:51');
insert into attendance_detail values(5258, 5052, '09:06', '17:55');
insert into attendance_detail values(5259, 5053, '09:09', '17:59');
insert into attendance_detail values(5260, 5054, '10:44', '17:53');
insert into attendance_detail values(5261, 5055, '09:00', '14:43');
